"","PER","PBR","PCR","PSR","DY"
"004000",14.1437219730942,1.05778485788547,6.6823093220339,1.08807244501941,0.0164
"003690",NA,NA,NA,NA,NA
"005250",28.2277619930876,0.850930659512398,8.47809598961938,0.835950099283521,0.0115
"214320",19.2845528455285,1.72987164527421,10.2683982683983,1.0415385966453,0.0169
"007700",15.811214953271,4.00087837837838,17.7816816816817,2.112863514719,0.0085
"000080",91.6707041417323,0.956236503162218,3.37552317367353,0.616020923117625,0.0482
"181710",69.6562034638554,0.697444343748115,-26.5814477586207,1.27190955615444,NA
"006650",5.32314512365842,0.774334781428184,5.00548486178148,0.641086883219063,0.0228
"005610",29.8175180104712,4.06796138571429,18.0511757210777,0.551454460421205,0.0072
"005300",8.34384197622586,0.855485321450335,7.76144526606773,0.492730719957882,0.0235
"192400",2.50606001677852,3.13082400083846,-37.2162401162791,2.4882470624167,0.026
"145720",37.1412568106312,6.87970356923077,51.5185175115207,7.42331892430279,0.0015
"010780",5.71870260348361,1.00930447396022,10.0295664707996,0.608996589307147,0.0304
"011210",-17.3314695626984,0.347722232556288,15.0190176403026,0.145829337613858,0.0149
"001800",0.727880726609471,0.345579344943712,-122.441118136364,9.56061969476486,0.0349
"185750",19.8319235687732,2.64556778576742,13.0594551774786,1.20641959294437,0.0079
"049770",20.5344438521401,1.77928255900202,21.2368292555332,0.413488370289117,0.0091
"001440",-23.9772973717742,3.0787417335355,32.6211506562696,0.6554640375,NA
"003090",15.2589811764706,1.07704721814117,6.84486097428958,0.900062679715303,0.0057
"082640",NA,NA,NA,NA,NA
"069260",8.75459270979021,1.67255411823647,6.40361512787724,1.39916932942163,0.0612
"079160",-705.125179607143,1.26935225851871,5.08067550926403,0.575813842423005,0.0075
"006040",5.80696402877698,1.07181763859688,3.4457545357524,0.406787451178027,0.0139
"023590",8.41738451570681,0.504778788854003,-1.13299537878788,0.693431288548631,0.014
"284740",413.627300869565,2.64850443207127,182.950536923077,31.3974518811881,NA
